Style Number                                                                                                                                                                                                                                                                                                                                                                                                                   no,Style,14k price,18k price,Number of Stones,Main Stone Cut,Main Stone Weight,Gem Factor,TOTAL CARAT WEGHT,Natural Sidestone Gem Factor,nOT cLEATED,,,,Notes
E002,1,124.58,142.608,2,Round Cut,1,2,2,0,,,,,*14K Gold price $105/gram
E002,2,124.58,142.608,2,Round Cut,1,2,2,0,,,,,*18K Gold price $109/gram
E003,3,158.18,159.064,2,Round Cut,2,2,4,0,,,,,*$40 labor
E003,4,158.18,159.064,2,Round Cut,2,2,4,0,,,,,
E004,5,139.28,167.776,2,Princess Cut,1.5,2,3,0,,,,,
E004,6,139.28,167.776,2,Princess Cut,1.5,2,3,0,,,,,
E005,7,137.18,156.644,2,Princess Cut,2,2,4,0,,,,,
E005,8,137.18,156.644,2,Princess Cut,2,2,4,0,,,,,
E022,9,80.48,126.152,2,Round Cut,0.25,2,0.5,0,,,,,
E022,10,80.48,126.152,2,Round Cut,0.25,2,0.5,0,,,,,
E023,11,103.58,131.96,2,Round Cut,0.5,2,1,0,,,,,
E023,12,103.58,131.96,2,Round Cut,0.5,2,1,0,,,,,
E024,13,105.68,140.672,2,Round Cut,0.75,2,1.5,0,,,,,
E024,14,105.68,140.672,2,Round Cut,0.75,2,1.5,0,,,,,
E025,15,137.18,154.224,2,Round Cut,1.5,2,3,0,,,,,
E025,16,137.18,154.224,2,Round Cut,1.5,2,3,0,,,,,
E026,17,93.08,144.544,2,Round Cut,0.5,2,1,0,,,,,
E026,18,93.08,144.544,2,Round Cut,0.5,2,1,0,,,,,
E027,19,111.98,145.512,2,Round Cut,1,2,2,0,,,,,
E027,20,111.98,145.512,2,Round Cut,1,2,2,0,,,,,
E028,21,130.88,157.128,2,Round Cut,2,2,4,0,,,,,
E028,22,130.88,157.128,2,Round Cut,2,2,4,0,,,,,
E012,23,103.58,147.448,2,Round Cut,0.5,2,1,0,,,,,
E012,24,103.58,147.448,2,Round Cut,0.5,2,1,0,,,,,
E029,25,163.4,161,2,Round Cut,1,2,2,0,,,,,
E029,26,163.4,161,2,Round Cut,1,2,2,0,,,,,
E030,27,142.4,161.968,2,Round Cut,1.5,2,3,0,,,,,
E030,28,142.4,161.968,2,Round Cut,1.5,2,3,0,,,,,
E049,29,163.4,161.968,2,Round Cut,2,2,4,0,,,,,
E049,30,163.4,161.968,2,Round Cut,2,2,4,0,,,,,
P9031/16,31,144.6,224.15,1,Round Cut,2,1,2,0,No,,,,
P9031/18,32,144.6,224.15,1,Round Cut,2,1,2,0,No,,,,
P9031/16,33,144.6,224.15,1,Round Cut,2,1,2,0,No,,,,
P9031/18,34,144.6,224.15,1,Round Cut,2,1,2,0,No,,,,
P032/16,35,155.65,242,1,Round Cut,2.5,1,2.5,0,No,,,,
P032/18,36,155.65,242,1,Round Cut,2.5,1,2.5,0,No,,,,
P032/16,37,155.65,242,1,Round Cut,2.5,1,2.5,0,No,,,,
P032/18,38,155.65,242,1,Round Cut,2.5,1,2.5,0,No,,,,
P011/16,39,157.6,244.55,1,Round Cut,3,1,3,0,No,,,,
P011/18,40,157.6,244.55,1,Round Cut,3,1,3,0,No,,,,
P011/16,41,157.6,244.55,1,Round Cut,3,1,3,0,No,,,,
P011/18,42,157.6,244.55,1,Round Cut,3,1,3,0,No,,,,
P033/16,43,128.35,198.65,1,Round Cut,2,1,2,0,No,,,,
P033/18,44,128.35,198.65,1,Round Cut,2,1,2,0,No,,,,
P033/16,45,128.35,198.65,1,Round Cut,2,1,2,0,No,,,,
P033/18,46,128.35,198.65,1,Round Cut,2,1,2,0,No,,,,
P0343/16,47,157.6,244.55,1,Princess Cut,2,1,2,0,No,,,,
R019,48,389.55,380.41,33,Long Cushion Cut,3,1,3.48,0.48,No,,,,
R037,49,229.95,287.76,1,Round Cut,1.5,1,1.5,0,No,,,,
R021,50,229.95,307.38,1,Round Cut,2,1,2,0,No,,,,
R035,51,258.3,312.83,1,Princess Cut,1.5,1,1.5,0,No,,,,
R020,52,247.8,307.38,1,Princess Cut,2,1,2,0,No,,,,
R036,53,264.6,334.63,1,Princess Cut,3,1,3,0,No,,,,
R009,54,263.55,277.95,13,Round Cut,2,1,2.3,0.3,No,,,,
R015,55,289.8,288.85,31,Round Cut,1.5,1,1.86,0.36,No,,,,
R010,56,213.15,245.25,7,Round Cut,0.17,7,1.19,0,No,,,,
R013,57,184.8,227.81,1,Heart Cut,1.25,1,1.25,0,No,,,,
R013,58,184.8,227.81,1,Heart Cut,1.25,1,1.25,0,No,,,,
E027,59,111.98,145.512,2,Round Cut,1,2,2,0,,,,,
E014,61,N/A,194.88,32, Triangle Cut,0.41,2,1.021,0.201,No,,,,
R046,62,320.25,358.61,55,Round Cut,1,1,1.615,0.615,No,,,,
E017,64,N/A,252.96,34,Round Cut,0.5,2,1.24,0.24,No,,,,
R040,65,530.25,624.57,51,Round Cut,1.5,1,2.37,0.87,No,,,,
R042,67,153.3,154.78,57,Round Cut,0.015,57,0.855,0,No,,,,
R038,68,416.85,500.31,54,Round Cut,1,1,1.795,0.795,No,,,,
R018,69,439.95,513.39,23,Round Cut,1,1,1.66,0.66,No,,,,
E047,70,N/A,208.432,26,Round Cut,0.36,2,0.8808,0.1608,No,,,,
E047,71,N/A,208.432,26,Round Cut,0.36,2,0.8808,0.1608,No,,,,
E044,72,N/A,310.072,86,Round Cut,0.36,2,1.35,0.63,No,,,,
E043,73,N/A,197.784,38,Round Cut,0.5,2,1.18,0.18,No,,,,
E9051,94,N/A,169.712,2,Princess Cut,1,2,2,0,No,,,,
E9051,95,N/A,169.712,2,Princess Cut,1,2,2,0,No,,,,
E052,96,128.78,142.608,2,Princess Cut,0.5,2,1,0,,,,,
E052,97,128.78,142.608,2,Princess Cut,0.5,2,1,0,,,,,
E053,98,97.28,133.896,2,Princess Cut,0.25,2,0.5,0,,,,,
E053,99,97.28,133.896,2,Princess Cut,0.25,2,0.5,0,,,,,
E054,100,160.28,156.16,2,Emerald Cut,1,2,2,0,,,,,
E002,101,124.58,142.608,2,Round Cut,1,2,2,0,,,,,
E056,102,N/A,259.736,50,Princess Cut,1,2,2.24,0.24,No,,,,
E057,103,N/A,367.184,44,Round Cut,0.75,2,2.235,0.735,No,,,,
E061,104,182.3,216.67936,6,Round Cut,0.25,2,1.06,0.56,,,,,
E061,105,182.3,216.67936,6,Round Cut,0.25,2,1.06,0.56,,,,,
E062,106,N/A,237.472,2,Round Cut,1,2,2,0,No,,,,
R060,107,294,333.54,55,Round Cut,1,1,1.27,0.27,No,,,,
R015,108,289.8,288.85,31,Round Cut,1.5,1,1.86,0.36,No,,,,
R055,109,233.1,255.06,1,Princess Cut,1,1,1,0,No,,,,
R067,110,224.7,206.01,1,Round Cut,1,1,1,0,No,,,,
R064,111,264.6,317.19,3,Round Cut,1,1,1.5,0.5,No,,,,
R066,112,397.95,457.8,88,Round Cut,1,1,1.925,0.925,No,,,,
R065,113,232.9425,238.71,20,Round Cut,0.06,20,1.2,0,No,,,,
R058,114,236.25,293.21,10,Round Cut,0.1,10,1,0,No,,,,
R059,115,271.95,367.33,9,Round Cut,0.17,9,1.53,0,No,,,,
P063/16,116,130.3,202.05,17,Round Cut,1,1,1.16,0.16,No,,,,
R073,117,198.45,220.18,1,Princess Cut,0.5,1,0.5,0,No,,,,
R035,118,258.3,312.83,1,Princess Cut,1.5,1,1.5,0,No,,,,
R020,119,247.8,307.38,1,Princess Cut,2,1,2,0,No,,,,
R072,120,206.85,233.26,1,Round Cut,0.5,1,0.5,0,No,,,,
R037,121,229.95,287.76,1,Round Cut,1.5,1,1.5,0,No,,,,
R021,122,229.95,307.38,1,Round Cut,2,1,2,0,No,,,,
R072,123,206.85,233.26,1,Round Cut,0.5,1,0.5,0,No,,,,
R073,124,198.45,220.18,1,Princess Cut,0.5,1,0.5,0,No,,,,
E071,125,79.4,140.672,2,Round Cut,0.1,2,0.2,0,,,,,
E071,126,79.4,140.672,2,Round Cut,0.1,2,0.2,0,,,,,
E070,127,74.18,109.696,2,Round Cut,0.1,2,0.2,0,,,,,
E070,128,74.18,109.696,2,Round Cut,0.1,2,0.2,0,,,,,
R074,129,261.45,264.87,43,Round Cut,0.75,1,1.46,0.71,No,,,,
P063/16,130,130.3,202.05,17,Round Cut,1,1,1.16,0.16,No,,,,
E023,131,103.58,131.96,2,Round Cut,0.5,2,1,0,,,,,
N075/16,132,199.85,310,23,Round Cut,0.025,23,0.575,0,No,,,,
R076,133,531.3,575.52,58,Round Cut,1,1,1.57,0.57,No,,,,
R077,134,294,337.9,43,Round Cut,1,1,1.42,0.42,No,,,,
R078,135,444.15,415.29,51,Round Cut,1,1,1.495,0.495,No,,,,
R079,136,559.65,519.93,73,Emerald Cut,1,1,1.72,0.72,No,,,,
R080,137,325.5,342.26,33,Round Cut,0.015,33,0.495,0,No,,,,
R081,138,262.395,373.87,17,Round Cut,0.01,17,0.17,0,No,,,,
R082,139,233.1,307.38,13,Round Cut,1,1,1.97,0.97,No,,,,
R083,140,80.85,369.51,79,Round Cut,0.06,19,1.44,0.3,No,,,,
R084,141,179.55,267.05,33,Round Cut,0.17,17,3.13,0.24,No,,,,
P086/16,142,140.7,219.05,1,Princess Cut,1,1,1,0,No,,,,
E091,143,101.48,448.8,2,Emerald Cut,0.5,2,1,0,,,,,
P0343/16,144,157.6,244.55,1,Princess Cut,2,1,2,0,No,,,,
P086/16,145,140.7,219.05,1,Princess Cut,1,1,1,0,No,,,,
R019,146,389.55,380.41,33,Long Cushion Cut,3,1,3.48,0.48,No,,,,
